year,month,avgTemp,Period
1970,1,-11.197,1970-1990
1970,2,-9.076,1970-1990
1970,3,-3.31,1970-1990
1970,4,5.114,1970-1990
1970,5,12.092,1970-1990
1970,6,15.412,1970-1990
1970,7,19.032,1970-1990
1970,8,15.875,1970-1990
1970,9,10.957,1970-1990
1970,10,4.8740000000000006,1970-1990
1970,11,-2.14,1970-1990
1970,12,-6.397,1970-1990
1971,1,-4.393,1970-1990
1971,2,-10.003,1970-1990
1971,3,-4.8,1970-1990
1971,4,3.131,1970-1990
1971,5,12.157,1970-1990
1971,6,16.148,1970-1990
1971,7,17.184,1970-1990
1971,8,16.36,1970-1990
1971,9,10.745,1970-1990
1971,10,3.03,1970-1990
1971,11,-1.131,1970-1990
1971,12,-6.004,1970-1990
1972,1,-15.765,1970-1990
1972,2,-8.468,1970-1990
1972,3,-3.301,1970-1990
1972,4,5.422999999999999,1970-1990
1972,5,12.206,1970-1990
1972,6,18.215,1970-1990
1972,7,21.357000000000006,1970-1990
1972,8,20.331,1970-1990
1972,9,10.871,1970-1990
1972,10,4.553999999999999,1970-1990
1972,11,-0.615,1970-1990
1972,12,-1.5719999999999998,1970-1990
1973,1,-11.014,1970-1990
1973,2,-4.034999999999998,1970-1990
1973,3,-2.2059999999999995,1970-1990
1973,4,7.162999999999999,1970-1990
1973,5,12.674,1970-1990
1973,6,17.22,1970-1990
1973,7,17.721,1970-1990
1973,8,15.39,1970-1990
1973,9,7.1869999999999985,1970-1990
1973,10,2.8510000000000004,1970-1990
1973,11,-2.599,1970-1990
1973,12,-6.559,1970-1990
1974,1,-11.29,1970-1990
1974,2,-2.2689999999999992,1970-1990
1974,3,-1.0849999999999995,1970-1990
1974,4,2.746,1970-1990
1974,5,9.22,1970-1990
1974,6,15.79,1970-1990
1974,7,17.756,1970-1990
1974,8,15.64,1970-1990
1974,9,12.669,1970-1990
1974,10,8.044,1970-1990
1974,11,1.281,1970-1990
1974,12,-3.0960000000000005,1970-1990
1975,1,-4.243,1970-1990
1975,2,-6.939,1970-1990
1975,3,0.2720000000000002,1970-1990
1975,4,9.201,1970-1990
1975,5,15.474,1970-1990
1975,6,17.055999999999997,1970-1990
1975,7,18.012,1970-1990
1975,8,15.033,1970-1990
1975,9,13.45,1970-1990
1975,10,3.556,1970-1990
1975,11,-3.994,1970-1990
1975,12,-4.707000000000002,1970-1990
1976,1,-13.010000000000002,1970-1990
1976,2,-12.728,1970-1990
1976,3,-3.515,1970-1990
1976,4,5.037,1970-1990
1976,5,10.311,1970-1990
1976,6,13.255999999999998,1970-1990
1976,7,15.906000000000002,1970-1990
1976,8,14.202,1970-1990
1976,9,9.35,1970-1990
1976,10,-1.4560000000000004,1970-1990
1976,11,-1.265,1970-1990
1976,12,-4.272,1970-1990
1977,1,-12.164,1970-1990
1977,2,-7.052999999999999,1970-1990
1977,3,-1.5809999999999995,1970-1990
1977,4,6.43,1970-1990
1977,5,13.692,1970-1990
1977,6,16.224,1970-1990
1977,7,18.078000000000007,1970-1990
1977,8,15.402,1970-1990
1977,9,9.283,1970-1990
1977,10,2.7750000000000004,1970-1990
1977,11,1.212,1970-1990
1977,12,-9.173,1970-1990
1978,1,-8.997,1970-1990
1978,2,-10.390999999999998,1970-1990
1978,3,-0.4769999999999994,1970-1990
1978,4,4.141,1970-1990
1978,5,10.174,1970-1990
1978,6,13.817,1970-1990
1978,7,15.879,1970-1990
1978,8,15.541,1970-1990
1978,9,9.394,1970-1990
1978,10,2.9290000000000003,1970-1990
1978,11,1.716,1970-1990
1978,12,-15.152,1970-1990
1979,1,-10.988,1970-1990
1979,2,-10.093,1970-1990
1979,3,-1.6219999999999994,1970-1990
1979,4,2.739,1970-1990
1979,5,16.079,1970-1990
1979,6,16.736,1970-1990
1979,7,16.065,1970-1990
1979,8,16.552,1970-1990
1979,9,11.509,1970-1990
1979,10,3.085,1970-1990
1979,11,-1.406,1970-1990
1979,12,-6.226,1970-1990
1980,1,-12.561,1970-1990
1980,2,-8.411999999999999,1970-1990
1980,3,-7.762,1970-1990
1980,4,5.034,1970-1990
1980,5,8.05,1970-1990
1980,6,17.238,1970-1990
1980,7,17.043000000000006,1970-1990
1980,8,14.538,1970-1990
1980,9,10.61,1970-1990
1980,10,4.692,1970-1990
1980,11,-2.599,1970-1990
1980,12,-4.957000000000002,1970-1990
1981,1,-6.564,1970-1990
1981,2,-6.007000000000001,1970-1990
1981,3,-4.1019999999999985,1970-1990
1981,4,2.614,1970-1990
1981,5,13.361,1970-1990
1981,6,18.901,1970-1990
1981,7,20.713,1970-1990
1981,8,16.811,1970-1990
